case_id,case_name,factor,level,difficulty,method,solution_hash,feasible,status,objective_value,objective_decision,processed_count,ordinary_count,precision_count,unprocessed_count,mean_utilization,max_utilization,run_seconds,intrinsic_block_value,ordinary_processing_increment,precision_processing_increment,same_precision_reward,precision_mismatch_penalty,cross_crack_loss
CRACK03,裂缝分布梯度3,crack_distribution,3,crack_distribution,MG-LS,d362686e60a64edb,True,Feasible,2581.6848736101842,1267.0,19,14,5,11,0.906031746031746,1.0,1.0363290999999997,1346.6848736101842,672.0,480.0,240.0,125.0,32.0
CRACK04,裂缝分布梯度4,crack_distribution,4,crack_distribution,VF,e8679cfcff0cefe4,True,Feasible,2190.7019792545525,997.0,19,14,5,11,0.9095175919125087,1.0,0.0010113999999994405,1249.7019792545525,672.0,480.0,120.0,275.0,56.0
CRACK04,裂缝分布梯度4,crack_distribution,4,crack_distribution,VDF,bd491c3df50e4954,True,Feasible,2130.7019792545525,937.0,19,14,5,11,0.9118414891663505,1.0,0.001818100000001266,1249.7019792545525,672.0,480.0,60.0,275.0,56.0
CRACK04,裂缝分布梯度4,crack_distribution,4,crack_distribution,MG,1399276d50211947,True,Feasible,2350.7019792545525,1157.0,19,14,5,11,0.9152476973776394,1.0,0.036550899999998165,1249.7019792545525,672.0,480.0,180.0,175.0,56.0
CRACK04,裂缝分布梯度4,crack_distribution,4,crack_distribution,MG-LS,1399276d50211947,True,Feasible,2350.7019792545525,1157.0,19,14,5,11,0.9152476973776394,1.0,0.8714729000000005,1249.7019792545525,672.0,480.0,180.0,175.0,56.0
CRACK05,裂缝分布梯度5,crack_distribution,5,crack_distribution,VF,0897c030d678ca76,True,Feasible,2085.2619442862506,997.0,19,14,5,11,0.9320696323787587,1.0,0.0019101999999975305,1156.2619442862506,672.0,480.0,120.0,275.0,68.0
CRACK05,裂缝分布梯度5,crack_distribution,5,crack_distribution,VDF,ab0d5a93fe3f58fa,True,Feasible,1844.2619442862506,756.0,18,14,4,12,0.8664469482671855,0.9892759784447231,0.005153700000001038,1156.2619442862506,672.0,384.0,0.0,300.0,68.0
CRACK05,裂缝分布梯度5,crack_distribution,5,crack_distribution,MG,0eb6ddfa83b02ef4,True,Feasible,2043.2619442862506,955.0,17,14,3,13,0.7909209383005342,0.9523809523809523,0.07843240000000051,1156.2619442862506,672.0,288.0,120.0,125.0,68.0
CRACK05,裂缝分布梯度5,crack_distribution,5,crack_distribution,MG-LS,3318cdb627ff01d1,True,Feasible,2199.2619442862506,1111.0,18,14,4,12,0.8736734903280645,0.9643796803297887,2.2656926000000013,1156.2619442862506,672.0,384.0,180.0,125.0,68.0
CRACK06,裂缝分布梯度6,crack_distribution,6,crack_distribution,VF,c21d5ed3b7a519d5,True,Feasible,1935.2234054107876,949.0,18,13,5,12,0.9034302520567922,1.0,0.0018705000000025507,1066.2234054107878,624.0,480.0,120.0,275.0,80.0
CRACK06,裂缝分布梯度6,crack_distribution,6,crack_distribution,VDF,41172db30ac0d3ec,True,Feasible,1771.2234054107878,785.0,17,14,3,13,0.7861824223554855,0.9523809523809523,0.001692800000000716,1066.2234054107878,672.0,288.0,0.0,175.0,80.0
CRACK06,裂缝分布梯度6,crack_distribution,6,crack_distribution,MG,ab4d9c16be48eb82,True,Feasible,1891.2234054107876,905.0,17,14,3,13,0.8524575502078882,0.9523809523809523,0.03090140000000119,1066.2234054107878,672.0,288.0,120.0,175.0,80.0
CRACK06,裂缝分布梯度6,crack_distribution,6,crack_distribution,MG-LS,2099cb34a3576639,True,Feasible,2084.2234054107876,1098.0,17,13,4,13,0.8678292719640204,0.9523809523809523,1.9626248000000004,1066.2234054107878,624.0,384.0,240.0,150.0,80.0
DEVICE01,设备性能梯度1,device_performance,1,device_performance,VF,1e48499bb231028f,True,Feasible,1675.642951667583,355.0,8,6,2,22,0.7479365079365079,0.8888888888888888,0.001973899999999418,1352.642951667583,288.0,192.0,0.0,125.0,32.0
DEVICE01,设备性能梯度1,device_performance,1,device_performance,VDF,b7844f6fcb9d90fb,True,Feasible,1760.642951667583,440.0,8,6,2,22,0.7479365079365079,0.8888888888888888,0.0016204000000001884,1352.642951667583,288.0,192.0,60.0,100.0,32.0
DEVICE01,设备性能梯度1,device_performance,1,device_performance,MG,d429e5654fad7485,True,Feasible,1785.642951667583,465.0,8,6,2,22,0.7479365079365079,0.8888888888888888,0.01897819999999939,1352.642951667583,288.0,192.0,60.0,75.0,32.0
DEVICE01,设备性能梯度1,device_performance,1,device_performance,MG-LS,d429e5654fad7485,True,Feasible,1785.642951667583,465.0,8,6,2,22,0.7479365079365079,0.8888888888888888,0.5089098000000014,1352.642951667583,288.0,192.0,60.0,75.0,32.0
DEVICE02,设备性能梯度2,device_performance,2,device_performance,VF,9f851764d0d64fc9,True,Feasible,1998.642951667583,678.0,13,10,3,17,0.7884303350970018,0.9876543209876544,0.002295700000001233,1352.642951667583,480.0,288.0,60.0,150.0,32.0
DEVICE02,设备性能梯度2,device_performance,2,device_performance,VDF,d82c912d70f59ec5,True,Feasible,2033.642951667583,713.0,13,10,3,17,0.7884303350970018,0.9876543209876544,0.0024565999999985877,1352.642951667583,480.0,288.0,120.0,175.0,32.0
DEVICE02,设备性能梯度2,device_performance,2,device_performance,MG,dcbf2edeeaa5fb3c,True,Feasible,2108.642951667583,788.0,13,10,3,17,0.7884303350970018,0.9876543209876544,0.02063270000000017,1352.642951667583,480.0,288.0,120.0,100.0,32.0
DEVICE02,设备性能梯度2,device_performance,2,device_performance,MG-LS,dcbf2edeeaa5fb3c,True,Feasible,2108.642951667583,788.0,13,10,3,17,0.7884303350970018,0.9876543209876544,0.613435599999999,1352.642951667583,480.0,288.0,120.0,100.0,32.0
DEVICE03,设备性能梯度3,device_performance,3,device_performance,VF,792681bc8c2f226a,True,Feasible,2317.642951667583,997.0,19,14,5,11,0.906031746031746,1.0,0.0021329000000029907,1352.642951667583,672.0,480.0,120.0,275.0,32.0
DEVICE03,设备性能梯度3,device_performance,3,device_performance,VDF,5caa894afcb76c4c,True,Feasible,2622.642951667583,1302.0,19,14,5,11,0.906031746031746,1.0,0.0022519000000009726,1352.642951667583,672.0,480.0,300.0,150.0,32.0
DEVICE03,设备性能梯度3,device_performance,3,device_performance,MG,d362686e60a64edb,True,Feasible,2587.642951667583,1267.0,19,14,5,11,0.906031746031746,1.0,0.030811199999998706,1352.642951667583,672.0,480.0,240.0,125.0,32.0
DEVICE03,设备性能梯度3,device_performance,3,device_performance,MG-LS,d362686e60a64edb,True,Feasible,2587.642951667583,1267.0,19,14,5,11,0.906031746031746,1.0,0.8747611999999982,1352.642951667583,672.0,480.0,240.0,125.0,32.0
DEVICE04,设备性能梯度4,device_performance,4,device_performance,VF,310e7fa174adf50b,True,Feasible,2509.642951667583,1189.0,23,18,5,7,0.857576168252616,0.9481481481481482,0.002732199999996965,1352.642951667583,864.0,480.0,120.0,275.0,32.0
DEVICE04,设备性能梯度4,device_performance,4,device_performance,VDF,fde88b11bbe78f05,True,Feasible,2534.642951667583,1214.0,23,18,5,7,0.8631050721684547,0.9481481481481482,0.0032928999999981556,1352.642951667583,864.0,480.0,120.0,250.0,32.0
DEVICE04,设备性能梯度4,device_performance,4,device_performance,MG,e7f0e1998be7de05,True,Feasible,2619.642951667583,1299.0,23,18,5,7,0.8890713525998656,0.9481481481481482,0.03832760000000235,1352.642951667583,864.0,480.0,180.0,225.0,32.0
DEVICE04,设备性能梯度4,device_performance,4,device_performance,MG-LS,75a720ec5c6b7486,True,Feasible,2839.642951667583,1519.0,23,18,5,7,0.8773844401978806,0.9773654291531102,2.6760556000000015,1352.642951667583,864.0,480.0,300.0,125.0,32.0
DEVICE05,设备性能梯度5,device_performance,5,device_performance,VF,34fed49cf50d617f,True,Feasible,2915.642951667583,1595.0,28,21,7,2,0.9266503722477587,0.9876543209876546,0.003889499999999657,1352.642951667583,1008.0,672.0,240.0,325.0,32.0
DEVICE05,设备性能梯度5,device_performance,5,device_performance,VDF,4aef15b12f6c94d1,True,Feasible,2759.642951667583,1439.0,27,21,6,3,0.8741738177676022,0.9876543209876546,0.0017507999999999413,1352.642951667583,1008.0,576.0,180.0,325.0,32.0
DEVICE05,设备性能梯度5,device_performance,5,device_performance,MG,5eeebb7f450a1cc0,True,Feasible,2821.642951667583,1501.0,27,22,5,3,0.8820819511691351,0.9876543209876546,0.06306679999999787,1352.642951667583,1056.0,480.0,240.0,275.0,32.0
DEVICE05,设备性能梯度5,device_performance,5,device_performance,MG-LS,0dbc5ee1f91c78b5,True,Feasible,2906.642951667583,1586.0,27,22,5,3,0.8812855591418558,0.9876543209876546,1.749080700000004,1352.642951667583,1056.0,480.0,300.0,250.0,32.0
DEVICE06,设备性能梯度6,device_performance,6,device_performance,VF,b49644d950dd93f3,True,Feasible,3094.642951667583,1774.0,30,22,8,0,0.8664255391199687,0.9523809523809523,0.0018564999999952647,1352.642951667583,1056.0,768.0,300.0,350.0,32.0
DEVICE06,设备性能梯度6,device_performance,6,device_performance,VDF,2006b46d24982966,True,Feasible,2770.642951667583,1450.0,30,25,5,0,0.8201097897412468,0.9874210579748852,0.002866400000002045,1352.642951667583,1200.0,480.0,120.0,350.0,32.0
DEVICE06,设备性能梯度6,device_performance,6,device_performance,MG,f895c7c4e45836f7,True,Feasible,2520.642951667583,1200.0,25,25,0,5,0.557536504107887,0.9839045138236341,0.03814080000000075,1352.642951667583,1200.0,0.0,0.0,0.0,32.0
DEVICE06,设备性能梯度6,device_performance,6,device_performance,MG-LS,f895c7c4e45836f7,True,Feasible,2520.642951667583,1200.0,25,25,0,5,0.557536504107887,0.9839045138236341,0.14937740000000588,1352.642951667583,1200.0,0.0,0.0,0.0,32.0
TIME01,加工时间梯度1,deadline,1,deadline,VF,fdd4813b3cea9ba1,True,Feasible,1723.642951667583,403.0,9,7,2,21,0.8011904761904761,1.0,0.0012095000000016398,1352.642951667583,336.0,192.0,0.0,125.0,32.0
TIME01,加工时间梯度1,deadline,1,deadline,VDF,fb08c61e664a409b,True,Feasible,1673.642951667583,353.0,9,7,2,21,0.8011904761904761,1.0,0.00325289999999967,1352.642951667583,336.0,192.0,0.0,175.0,32.0
TIME01,加工时间梯度1,deadline,1,deadline,MG,2d09929350e09982,True,Feasible,1833.642951667583,513.0,9,7,2,21,0.8011904761904761,1.0,0.02328390000000269,1352.642951667583,336.0,192.0,60.0,75.0,32.0
TIME01,加工时间梯度1,deadline,1,deadline,MG-LS,2d09929350e09982,True,Feasible,1833.642951667583,513.0,9,7,2,21,0.8011904761904761,1.0,0.4751601999999977,1352.642951667583,336.0,192.0,60.0,75.0,32.0
TIME02,加工时间梯度2,deadline,2,deadline,VF,7db640edab8fb4ae,True,Feasible,1950.642951667583,630.0,12,9,3,18,0.7898809523809524,0.9375,0.0021293000000000006,1352.642951667583,432.0,288.0,60.0,150.0,32.0
TIME02,加工时间梯度2,deadline,2,deadline,VDF,323b68a420b1b87b,True,Feasible,1765.642951667583,445.0,12,9,3,18,0.7898809523809524,0.9375,0.0017132999999986964,1352.642951667583,432.0,288.0,0.0,275.0,32.0
TIME02,加工时间梯度2,deadline,2,deadline,MG,eb44a01faae7476c,True,Feasible,2060.642951667583,740.0,12,9,3,18,0.7898809523809524,0.9375,0.03426250000000408,1352.642951667583,432.0,288.0,120.0,100.0,32.0
TIME02,加工时间梯度2,deadline,2,deadline,MG-LS,eb44a01faae7476c,True,Feasible,2060.642951667583,740.0,12,9,3,18,0.7898809523809524,0.9375,0.7670890999999997,1352.642951667583,432.0,288.0,120.0,100.0,32.0
TIME03,加工时间梯度3,deadline,3,deadline,VF,f8eb54521e8afdba,True,Feasible,2248.642951667583,928.0,17,13,4,13,0.9014285714285715,1.0,0.0014680999999967526,1352.642951667583,624.0,384.0,120.0,200.0,32.0
TIME03,加工时间梯度3,deadline,3,deadline,VDF,aa302a1f520c9e59,True,Feasible,2223.642951667583,903.0,17,13,4,13,0.9014285714285715,1.0,0.0017343999999965831,1352.642951667583,624.0,384.0,120.0,225.0,32.0
TIME03,加工时间梯度3,deadline,3,deadline,MG,bbaddddddeff3bde,True,Feasible,2383.642951667583,1063.0,17,13,4,13,0.9014285714285715,1.0,0.03309260000000336,1352.642951667583,624.0,384.0,180.0,125.0,32.0
TIME03,加工时间梯度3,deadline,3,deadline,MG-LS,bbaddddddeff3bde,True,Feasible,2383.642951667583,1063.0,17,13,4,13,0.9014285714285715,1.0,0.7810373999999953,1352.642951667583,624.0,384.0,180.0,125.0,32.0
TIME04,加工时间梯度4,deadline,4,deadline,VF,70f7bf20d082915c,True,Feasible,2365.642951667583,1045.0,20,15,5,10,0.8791636757202715,0.9722222222222221,0.0013677999999970325,1352.642951667583,720.0,480.0,120.0,275.0,32.0
TIME04,加工时间梯度4,deadline,4,deadline,VDF,3fbd85e5324f8740,True,Feasible,2303.642951667583,983.0,21,16,5,9,0.9348136939856581,1.0,0.0018476999999990085,1352.642951667583,768.0,480.0,60.0,325.0,32.0
TIME04,加工时间梯度4,deadline,4,deadline,MG,69b9899b23feaae4,True,Feasible,2573.642951667583,1253.0,21,16,5,9,0.9348869576070525,1.0,0.04223239999999606,1352.642951667583,768.0,480.0,180.0,175.0,32.0
TIME04,加工时间梯度4,deadline,4,deadline,MG-LS,69b9899b23feaae4,True,Feasible,2573.642951667583,1253.0,21,16,5,9,0.9348869576070525,1.0,0.9621769000000029,1352.642951667583,768.0,480.0,180.0,175.0,32.0
TIME05,加工时间梯度5,deadline,5,deadline,VF,310e7fa174adf50b,True,Feasible,2509.642951667583,1189.0,23,18,5,7,0.8614046332894582,0.9523809523809524,0.0010183999999995308,1352.642951667583,864.0,480.0,120.0,275.0,32.0
