case_id,case_name,factor,level,scenario_id,scenario_name,method,solution_hash,scenario_objective_if_completed,deterministic_objective,objective_change,value_drop_ratio,feasible_under_scenario,unavailable_assignment_count,overtime_device_count,total_overtime,max_overtime,mean_utilization,max_utilization,intrinsic_block_value,ordinary_processing_increment,precision_processing_increment,same_precision_reward,precision_mismatch_penalty,cross_crack_loss
SCALE01,木板规模梯度1,board_scale,1,U5,精密设备故障,MG-LS,c48b9c3f4149e8ae,1382.633062819361,1382.633062819361,0.0,0.0,False,2,0,0.0,0.0,0.49570150651534056,0.7781440284320066,502.63306281936104,384.0,384.0,240.0,100.0,28.0
SCALE01,木板规模梯度1,board_scale,1,U6,隐藏裂缝,MG-LS,c48b9c3f4149e8ae,1325.9291637982028,1382.633062819361,-56.70389902115812,0.04101153121966562,False,0,1,0.026986725427363467,0.026986725427363467,0.7378385918442315,1.0059970500949698,453.9291637982029,384.0,384.0,240.0,100.0,36.0
SCALE01,木板规模梯度1,board_scale,1,U7,复合扰动,MG-LS,c48b9c3f4149e8ae,1325.9291637982028,1382.633062819361,-56.70389902115812,0.04101153121966562,False,2,1,0.5299852504748479,0.5299852504748479,0.6239751405651819,1.1177745001055217,453.9291637982029,384.0,384.0,240.0,100.0,36.0
SCALE02,木板规模梯度2,board_scale,2,U0,基准情景,VF,508ca950cae1179c,1860.649888196076,1860.649888196076,0.0,0.0,True,0,0,0.0,0.0,0.8594700846001633,1.0,877.6498881960763,576.0,480.0,180.0,225.0,28.0
SCALE02,木板规模梯度2,board_scale,2,U1,普通设备降速,VF,508ca950cae1179c,1860.649888196076,1860.649888196076,0.0,0.0,False,0,1,0.21868758063181648,0.21868758063181648,0.9444746093335254,1.0485972401404036,877.6498881960763,576.0,480.0,180.0,225.0,28.0
SCALE02,木板规模梯度2,board_scale,2,U2,精密设备降速,VF,508ca950cae1179c,1860.649888196076,1860.649888196076,0.0,0.0,False,0,2,1.625,1.125,0.9539145290446079,1.25,877.6498881960763,576.0,480.0,180.0,225.0,28.0
SCALE02,木板规模梯度2,board_scale,2,U3,全设备降速,VF,508ca950cae1179c,1860.649888196076,1860.649888196076,0.0,0.0,False,0,3,1.2186875806318165,0.7941176470588234,1.0111412760001923,1.1764705882352942,877.6498881960763,576.0,480.0,180.0,225.0,28.0
SCALE02,木板规模梯度2,board_scale,2,U4,普通设备故障,VF,508ca950cae1179c,1860.649888196076,1860.649888196076,0.0,0.0,False,2,0,0.0,0.0,0.7212396572466406,1.0,877.6498881960763,576.0,480.0,180.0,225.0,28.0
SCALE02,木板规模梯度2,board_scale,2,U5,精密设备故障,VF,508ca950cae1179c,1860.649888196076,1860.649888196076,0.0,0.0,False,2,0,0.0,0.0,0.6816923068223856,1.0,877.6498881960763,576.0,480.0,180.0,225.0,28.0
SCALE02,木板规模梯度2,board_scale,2,U6,隐藏裂缝,VF,508ca950cae1179c,1779.5994892253748,1860.649888196076,-81.05039897070128,0.04356026326332714,True,0,0,0.0,0.0,0.897604231764307,1.0,816.5994892253748,576.0,480.0,180.0,225.0,48.0
