case_id,method,objective_value,feasible,processed_count,ordinary_count,precision_count,unprocessed_count,ordinary_blocks,precision_blocks,device_block_groups,device_loads,mean_utilization,max_utilization
CRACK04,VF,2190.7019792545525,True,19,14,5,11,B_1_5 B_3_1 B_4_1 B_4_4 B_4_5 B_5_1 B_5_3 B_5_4 B_5_5 B_6_1 B_6_2 B_6_3 B_6_4 B_6_5,B_1_1 B_1_3 B_2_1 B_2_3 B_2_5,O1:B_3_1 B_4_4 B_4_5 B_5_1 B_5_3 B_5_4; O2:B_5_5 B_6_1 B_6_2 B_6_3 B_6_4; O3:B_1_5 B_4_1 B_6_5; P1:B_1_1 B_1_3 B_2_1; P2:B_2_3 B_2_5,O1:4.000/4.500; O2:4.286/4.500; O3:3.678/4.500; P1:4.500/4.500; P2:4.000/4.500,0.9095175919125087,1.0
CRACK04,VDF,2130.7019792545525,True,19,14,5,11,B_1_1 B_1_3 B_2_1 B_2_3 B_2_5 B_3_1 B_4_4 B_4_5 B_5_1 B_5_3 B_5_4 B_6_3 B_6_4 B_6_5,B_1_5 B_4_1 B_5_5 B_6_1 B_6_2,O1:B_1_1 B_1_3 B_2_1 B_2_3 B_2_5 B_3_1; O2:B_4_4 B_4_5 B_5_1 B_5_3 B_5_4; O3:B_6_3 B_6_4 B_6_5; P1:B_5_5 B_6_1 B_6_2; P2:B_1_5 B_4_1,O1:4.000/4.500; O2:4.286/4.500; O3:3.600/4.500; P1:4.500/4.500; P2:4.131/4.500,0.9118414891663505,1.0
CRACK04,MG,2350.7019792545525,True,19,14,5,11,B_1_1 B_1_3 B_2_1 B_2_3 B_2_5 B_3_1 B_4_4 B_4_5 B_5_1 B_5_3 B_5_4 B_5_5 B_6_1 B_6_2,B_1_4 B_1_5 B_6_3 B_6_4 B_6_5,O1:B_1_1 B_1_3 B_2_1 B_2_3 B_2_5 B_3_1; O2:B_4_4 B_4_5 B_5_1 B_5_3 B_5_4; O3:B_5_5 B_6_1 B_6_2; P1:B_6_3 B_6_4 B_6_5; P2:B_1_4 B_1_5,O1:4.000/4.500; O2:4.286/4.500; O3:3.600/4.500; P1:4.500/4.500; P2:4.207/4.500,0.9152476973776394,1.0
CRACK04,MG-LS,2350.7019792545525,True,19,14,5,11,B_1_1 B_1_3 B_2_1 B_2_3 B_2_5 B_3_1 B_4_4 B_4_5 B_5_1 B_5_3 B_5_4 B_5_5 B_6_1 B_6_2,B_1_4 B_1_5 B_6_3 B_6_4 B_6_5,O1:B_1_1 B_1_3 B_2_1 B_2_3 B_2_5 B_3_1; O2:B_4_4 B_4_5 B_5_1 B_5_3 B_5_4; O3:B_5_5 B_6_1 B_6_2; P1:B_6_3 B_6_4 B_6_5; P2:B_1_4 B_1_5,O1:4.000/4.500; O2:4.286/4.500; O3:3.600/4.500; P1:4.500/4.500; P2:4.207/4.500,0.9152476973776394,1.0
CRACK05,VF,2085.2619442862506,True,19,14,5,11,B_1_4 B_1_5 B_3_1 B_3_3 B_3_5 B_4_1 B_4_4 B_4_5 B_5_1 B_5_3 B_5_5 B_6_1 B_6_2 B_6_5,B_1_1 B_1_3 B_2_1 B_2_3 B_2_5,O1:B_3_1 B_4_4 B_4_5 B_5_1 B_5_5 B_6_1; O2:B_1_5 B_4_1 B_5_3 B_6_2 B_6_5; O3:B_1_4 B_3_3 B_3_5; P1:B_1_1 B_1_3 B_2_1; P2:B_2_3 B_2_5,O1:4.000/4.500; O2:4.398/4.500; O3:4.073/4.500; P1:4.500/4.500; P2:4.000/4.500,0.9320696323787587,1.0
CRACK05,VDF,1844.2619442862506,True,18,14,4,12,B_1_1 B_1_3 B_1_5 B_2_1 B_2_3 B_2_5 B_3_1 B_4_1 B_4_4 B_4_5 B_5_1 B_5_3 B_5_5 B_6_1,B_1_4 B_3_3 B_6_2 B_6_5,O1:B_1_1 B_1_3 B_2_1 B_2_3 B_2_5 B_3_1; O2:B_4_4 B_4_5 B_5_1 B_5_5 B_6_1; O3:B_1_5 B_4_1 B_5_3; P1:B_6_2 B_6_5; P2:B_1_4 B_3_3,O1:4.000/4.500; O2:4.286/4.500; O3:3.758/4.500; P1:3.000/4.500; P2:4.452/4.500,0.8664469482671855,0.9892759784447231
CRACK05,MG,2043.2619442862506,True,17,14,3,13,B_1_1 B_1_3 B_2_1 B_2_3 B_2_5 B_3_1 B_4_1 B_4_4 B_4_5 B_5_1 B_5_5 B_6_1 B_6_2 B_6_5,B_1_4 B_1_5 B_2_4,O1:B_1_1 B_1_3 B_2_1 B_2_3 B_2_5 B_3_1; O2:B_4_4 B_4_5 B_5_1 B_5_5 B_6_1; O3:B_4_1 B_6_2 B_6_5; P1:B_1_4 B_1_5; P2:B_2_4,O1:4.000/4.500; O2:4.286/4.500; O3:3.627/4.500; P1:3.166/4.500; P2:2.717/4.500,0.7909209383005342,0.9523809523809523
CRACK05,MG-LS,2199.2619442862506,True,18,14,4,12,B_1_1 B_2_1 B_2_3 B_2_4 B_2_5 B_3_1 B_4_1 B_4_4 B_4_5 B_5_1 B_5_5 B_6_1 B_6_2 B_6_5,B_1_2 B_1_3 B_1_4 B_1_5,O1:B_1_1 B_2_1 B_2_3 B_2_4 B_2_5 B_3_1; O2:B_4_4 B_4_5 B_5_1 B_5_5 B_6_1; O3:B_4_1 B_6_2 B_6_5; P1:B_1_4 B_1_5; P2:B_1_2 B_1_3,O1:4.239/4.500; O2:4.286/4.500; O3:3.627/4.500; P1:3.166/4.500; P2:4.340/4.500,0.8736734903280645,0.9643796803297887
CRACK06,VF,1935.2234054107876,True,18,13,5,12,B_1_2 B_1_4 B_1_5 B_3_1 B_3_3 B_3_5 B_4_4 B_4_5 B_5_1 B_5_3 B_5_5 B_6_1 B_6_5,B_1_1 B_1_3 B_2_1 B_2_3 B_2_5,O1:B_3_1 B_4_4 B_4_5 B_5_1 B_5_5 B_6_1; O2:B_1_4 B_1_5 B_5_3 B_6_5; O3:B_1_2 B_3_3 B_3_5; P1:B_1_1 B_1_3 B_2_1; P2:B_2_3 B_2_5,O1:4.000/4.500; O2:3.586/4.500; O3:4.241/4.500; P1:4.500/4.500; P2:4.000/4.500,0.9034302520567922,1.0
CRACK06,VDF,1771.2234054107878,True,17,14,3,13,B_1_1 B_1_3 B_1_4 B_2_1 B_2_3 B_2_5 B_3_1 B_3_3 B_4_4 B_4_5 B_5_1 B_5_3 B_5_5 B_6_1,B_1_5 B_3_5 B_6_5,O1:B_1_1 B_1_3 B_2_1 B_2_3 B_2_5 B_3_1; O2:B_4_4 B_4_5 B_5_1 B_5_5 B_6_1; O3:B_1_4 B_3_3 B_5_3; P1:B_1_5 B_6_5; P2:B_3_5,O1:4.000/4.500; O2:4.286/4.500; O3:3.968/4.500; P1:3.076/4.500; P2:2.360/4.500,0.7861824223554855,0.9523809523809523
