case_id,case_name,scenario_id,scenario_name,method,solution_hash,scenario_objective_if_completed,deterministic_objective,objective_change,value_drop_ratio,feasible_under_scenario,unavailable_assignment_count,overtime_device_count,total_overtime,max_overtime,mean_utilization,max_utilization,intrinsic_block_value,ordinary_processing_increment,precision_processing_increment,same_precision_reward,precision_mismatch_penalty,cross_crack_loss
C05,裂纹耗时差异明显,U0,基准情景,MG-LS,ee80605c5120f023,2853.1435747054056,2853.1435747054056,0.0,0.0,True,0,0,0.0,0.0,0.8052910052910052,0.9259259259259257,2475.5435747054057,288.0,129.60000000000002,24.0,28.0,36.0
C05,裂纹耗时差异明显,U1,普通设备降速,MG-LS,ee80605c5120f023,2853.1435747054056,2853.1435747054056,0.0,0.0,False,0,1,1.2666666666666648,1.2666666666666648,0.9065255731922399,1.2345679012345676,2475.5435747054057,288.0,129.60000000000002,24.0,28.0,36.0
C05,裂纹耗时差异明显,U2,精密设备降速,MG-LS,ee80605c5120f023,2853.1435747054056,2853.1435747054056,0.0,0.0,True,0,0,0.0,0.0,0.8052910052910052,0.9259259259259257,2475.5435747054057,288.0,129.60000000000002,24.0,28.0,36.0
C05,裂纹耗时差异明显,U3,全设备效率下降,MG-LS,ee80605c5120f023,2853.1435747054056,2853.1435747054056,0.0,0.0,False,0,3,5.466666666666664,2.9333333333333336,1.0670194003527336,1.5432098765432098,2475.5435747054057,288.0,129.60000000000002,24.0,28.0,36.0
C05,裂纹耗时差异明显,U4,普通设备故障,MG-LS,ee80605c5120f023,2853.1435747054056,2853.1435747054056,0.0,0.0,False,4,0,0.0,0.0,0.6275132275132274,0.9259259259259257,2475.5435747054057,288.0,129.60000000000002,24.0,28.0,36.0
C05,裂纹耗时差异明显,U5,精密设备故障,MG-LS,ee80605c5120f023,2853.1435747054056,2853.1435747054056,0.0,0.0,False,1,0,0.0,0.0,0.6994708994708994,0.9259259259259257,2475.5435747054057,288.0,129.60000000000002,24.0,28.0,36.0
C05,裂纹耗时差异明显,U6,隐藏裂纹出现,MG-LS,ee80605c5120f023,2820.299577130408,2853.1435747054056,-32.8439975749975,0.011511512377497066,True,0,0,0.0,0.0,0.8052910052910052,0.9259259259259257,2445.699577130408,288.0,129.60000000000002,24.0,28.0,39.0
C05,裂纹耗时差异明显,U7,复合压力情景,MG-LS,ee80605c5120f023,2776.4211239830865,2853.1435747054056,-76.72245072231908,0.02689049769612133,False,4,1,0.9999999999999991,0.9999999999999991,0.6859891404750631,1.1851851851851851,2407.8211239830866,288.0,129.60000000000002,24.0,28.0,45.0
C06,严重裂纹与相邻损失,U0,基准情景,VF,4911d3a5188adaac,3071.088381462392,3071.088381462392,0.0,0.0,True,0,0,0.0,0.0,0.8624434389140273,0.9803921568627452,2761.288381462392,184.79999999999995,126.00000000000001,32.0,25.0,8.0
C06,严重裂纹与相邻损失,U1,普通设备降速,VF,4911d3a5188adaac,3071.088381462392,3071.088381462392,0.0,0.0,False,0,2,0.6888888888888891,0.4555555555555548,0.9225741578682755,1.0893246187363832,2761.288381462392,184.79999999999995,126.00000000000001,32.0,25.0,8.0
C06,严重裂纹与相邻损失,U2,精密设备降速,VF,4911d3a5188adaac,3071.088381462392,3071.088381462392,0.0,0.0,False,0,2,1.5032967032967042,1.3285714285714292,1.0001292824822237,1.2605042016806725,2761.288381462392,184.79999999999995,126.00000000000001,32.0,25.0,8.0
C06,严重裂纹与相邻损失,U3,全设备效率下降,VF,4911d3a5188adaac,3071.088381462392,3071.088381462392,0.0,0.0,False,0,3,3.8666666666666663,1.844444444444445,1.0729009552538966,1.3616557734204795,2761.288381462392,184.79999999999995,126.00000000000001,32.0,25.0,8.0
C06,严重裂纹与相邻损失,U4,普通设备故障,VF,4911d3a5188adaac,3071.088381462392,3071.088381462392,0.0,0.0,False,3,0,0.0,0.0,0.705580693815988,0.9803921568627452,2761.288381462392,184.79999999999995,126.00000000000001,32.0,25.0,8.0
C06,严重裂纹与相邻损失,U5,精密设备故障,VF,4911d3a5188adaac,3071.088381462392,3071.088381462392,0.0,0.0,False,2,0,0.0,0.0,0.7176470588235294,0.9803921568627452,2761.288381462392,184.79999999999995,126.00000000000001,32.0,25.0,8.0
C06,严重裂纹与相邻损失,U6,隐藏裂纹出现,VF,4911d3a5188adaac,3024.9114113678233,3071.088381462392,-46.17697009456879,0.015036027739644606,True,0,0,0.0,0.0,0.8710389332479131,0.9803921568627452,2717.111411367823,184.79999999999995,126.00000000000001,32.0,25.0,10.0
C06,严重裂纹与相邻损失,U7,复合压力情景,VF,4911d3a5188adaac,2964.8413326958016,3071.088381462392,-106.24704876659052,0.034595894213893565,False,3,2,2.2,1.2999999999999998,0.8271493212669684,1.2549019607843137,2661.0413326958014,184.79999999999995,126.00000000000001,32.0,25.0,14.0
C06,严重裂纹与相邻损失,U0,基准情景,VDF,92c32587ec7908de,3028.088381462392,3028.088381462392,0.0,0.0,True,0,0,0.0,0.0,0.8624434389140273,0.9803921568627452,2761.288381462392,184.79999999999995,126.00000000000001,24.0,60.0,8.0
C06,严重裂纹与相邻损失,U1,普通设备降速,VDF,92c32587ec7908de,3028.088381462392,3028.088381462392,0.0,0.0,False,0,2,0.6888888888888891,0.4555555555555548,0.9225741578682755,1.0893246187363832,2761.288381462392,184.79999999999995,126.00000000000001,24.0,60.0,8.0
C06,严重裂纹与相邻损失,U2,精密设备降速,VDF,92c32587ec7908de,3028.088381462392,3028.088381462392,0.0,0.0,False,0,2,1.5032967032967042,1.3285714285714292,1.0001292824822237,1.2605042016806725,2761.288381462392,184.79999999999995,126.00000000000001,24.0,60.0,8.0
C06,严重裂纹与相邻损失,U3,全设备效率下降,VDF,92c32587ec7908de,3028.088381462392,3028.088381462392,0.0,0.0,False,0,3,3.8666666666666663,1.844444444444445,1.0729009552538966,1.3616557734204795,2761.288381462392,184.79999999999995,126.00000000000001,24.0,60.0,8.0
C06,严重裂纹与相邻损失,U4,普通设备故障,VDF,92c32587ec7908de,3028.088381462392,3028.088381462392,0.0,0.0,False,3,0,0.0,0.0,0.705580693815988,0.9803921568627452,2761.288381462392,184.79999999999995,126.00000000000001,24.0,60.0,8.0
C06,严重裂纹与相邻损失,U5,精密设备故障,VDF,92c32587ec7908de,3028.088381462392,3028.088381462392,0.0,0.0,False,2,0,0.0,0.0,0.7176470588235294,0.9803921568627452,2761.288381462392,184.79999999999995,126.00000000000001,24.0,60.0,8.0
C06,严重裂纹与相邻损失,U6,隐藏裂纹出现,VDF,92c32587ec7908de,2981.9114113678233,3028.088381462392,-46.17697009456879,0.015249545018982562,True,0,0,0.0,0.0,0.8743448926071,0.9803921568627452,2717.111411367823,184.79999999999995,126.00000000000001,24.0,60.0,10.0
C06,严重裂纹与相邻损失,U7,复合压力情景,VDF,92c32587ec7908de,2921.8413326958016,3028.088381462392,-106.24704876659052,0.035087168993158425,False,3,2,2.2,1.2999999999999998,0.869970510937577,1.2549019607843137,2661.0413326958014,184.79999999999995,126.00000000000001,24.0,60.0,14.0
C06,严重裂纹与相邻损失,U0,基准情景,MG,150702b0f8cd2ee2,3079.088381462392,3079.088381462392,0.0,0.0,True,0,0,0.0,0.0,0.8624434389140273,0.9803921568627452,2761.288381462392,184.79999999999995,126.00000000000001,40.0,25.0,8.0
C06,严重裂纹与相邻损失,U1,普通设备降速,MG,150702b0f8cd2ee2,3079.088381462392,3079.088381462392,0.0,0.0,False,0,2,0.6888888888888891,0.4555555555555548,0.9225741578682755,1.0893246187363832,2761.288381462392,184.79999999999995,126.00000000000001,40.0,25.0,8.0
C06,严重裂纹与相邻损失,U2,精密设备降速,MG,150702b0f8cd2ee2,3079.088381462392,3079.088381462392,0.0,0.0,False,0,2,1.5032967032967042,1.3285714285714292,1.0001292824822237,1.2605042016806725,2761.288381462392,184.79999999999995,126.00000000000001,40.0,25.0,8.0
C06,严重裂纹与相邻损失,U3,全设备效率下降,MG,150702b0f8cd2ee2,3079.088381462392,3079.088381462392,0.0,0.0,False,0,3,3.8666666666666663,1.844444444444445,1.0729009552538966,1.3616557734204795,2761.288381462392,184.79999999999995,126.00000000000001,40.0,25.0,8.0
C06,严重裂纹与相邻损失,U4,普通设备故障,MG,150702b0f8cd2ee2,3079.088381462392,3079.088381462392,0.0,0.0,False,3,0,0.0,0.0,0.705580693815988,0.9803921568627452,2761.288381462392,184.79999999999995,126.00000000000001,40.0,25.0,8.0
C06,严重裂纹与相邻损失,U5,精密设备故障,MG,150702b0f8cd2ee2,3079.088381462392,3079.088381462392,0.0,0.0,False,2,0,0.0,0.0,0.7176470588235294,0.9803921568627452,2761.288381462392,184.79999999999995,126.00000000000001,40.0,25.0,8.0
C06,严重裂纹与相邻损失,U6,隐藏裂纹出现,MG,150702b0f8cd2ee2,3032.9114113678233,3079.088381462392,-46.17697009456879,0.014996961559329242,True,0,0,0.0,0.0,0.8743448926071,0.9803921568627452,2717.111411367823,184.79999999999995,126.00000000000001,40.0,25.0,10.0
C06,严重裂纹与相邻损失,U7,复合压力情景,MG,150702b0f8cd2ee2,2972.8413326958016,3079.088381462392,-106.24704876659052,0.03450600814391992,False,3,2,2.2,1.2999999999999998,0.857509930492976,1.2549019607843137,2661.0413326958014,184.79999999999995,126.00000000000001,40.0,25.0,14.0
C06,严重裂纹与相邻损失,U0,基准情景,MG-LS,150702b0f8cd2ee2,3079.088381462392,3079.088381462392,0.0,0.0,True,0,0,0.0,0.0,0.8624434389140273,0.9803921568627452,2761.288381462392,184.79999999999995,126.00000000000001,40.0,25.0,8.0
C06,严重裂纹与相邻损失,U1,普通设备降速,MG-LS,150702b0f8cd2ee2,3079.088381462392,3079.088381462392,0.0,0.0,False,0,2,0.6888888888888891,0.4555555555555548,0.9225741578682755,1.0893246187363832,2761.288381462392,184.79999999999995,126.00000000000001,40.0,25.0,8.0
C06,严重裂纹与相邻损失,U2,精密设备降速,MG-LS,150702b0f8cd2ee2,3079.088381462392,3079.088381462392,0.0,0.0,False,0,2,1.5032967032967042,1.3285714285714292,1.0001292824822237,1.2605042016806725,2761.288381462392,184.79999999999995,126.00000000000001,40.0,25.0,8.0
C06,严重裂纹与相邻损失,U3,全设备效率下降,MG-LS,150702b0f8cd2ee2,3079.088381462392,3079.088381462392,0.0,0.0,False,0,3,3.8666666666666663,1.844444444444445,1.0729009552538966,1.3616557734204795,2761.288381462392,184.79999999999995,126.00000000000001,40.0,25.0,8.0
C06,严重裂纹与相邻损失,U4,普通设备故障,MG-LS,150702b0f8cd2ee2,3079.088381462392,3079.088381462392,0.0,0.0,False,3,0,0.0,0.0,0.705580693815988,0.9803921568627452,2761.288381462392,184.79999999999995,126.00000000000001,40.0,25.0,8.0
C06,严重裂纹与相邻损失,U5,精密设备故障,MG-LS,150702b0f8cd2ee2,3079.088381462392,3079.088381462392,0.0,0.0,False,2,0,0.0,0.0,0.7176470588235294,0.9803921568627452,2761.288381462392,184.79999999999995,126.00000000000001,40.0,25.0,8.0
C06,严重裂纹与相邻损失,U6,隐藏裂纹出现,MG-LS,150702b0f8cd2ee2,3032.9114113678233,3079.088381462392,-46.17697009456879,0.014996961559329242,True,0,0,0.0,0.0,0.8743448926071,0.9803921568627452,2717.111411367823,184.79999999999995,126.00000000000001,40.0,25.0,10.0
C06,严重裂纹与相邻损失,U7,复合压力情景,MG-LS,150702b0f8cd2ee2,2972.8413326958016,3079.088381462392,-106.24704876659052,0.03450600814391992,False,3,2,2.2,1.2999999999999998,0.857509930492976,1.2549019607843137,2661.0413326958014,184.79999999999995,126.00000000000001,40.0,25.0,14.0
C07,宽幅板局部搜索收益,U0,基准情景,VF,fe9e0135e1e37c07,3183.3439403220477,3183.3439403220477,0.0,0.0,True,0,0,0.0,0.0,0.8321250161920033,0.9,2921.9439403220476,248.4000000000001,132.0,21.0,45.0,95.0
C07,宽幅板局部搜索收益,U1,普通设备降速,VF,fe9e0135e1e37c07,3183.3439403220477,3183.3439403220477,0.0,0.0,True,0,0,0.0,0.0,0.8800788995240705,0.9999999999999998,2921.9439403220476,248.4000000000001,132.0,21.0,45.0,95.0
C07,宽幅板局部搜索收益,U2,精密设备降速,VF,fe9e0135e1e37c07,3183.3439403220477,3183.3439403220477,0.0,0.0,False,0,2,1.3251454427925013,1.0504201680672267,0.9453764706199282,1.2100840336134453,2921.9439403220476,248.4000000000001,132.0,21.0,45.0,95.0
C07,宽幅板局部搜索收益,U3,全设备效率下降,VF,fe9e0135e1e37c07,3183.3439403220477,3183.3439403220477,0.0,0.0,False,0,4,3.6613176052852046,1.2500000000000009,1.0529639805079984,1.2500000000000002,2921.9439403220476,248.4000000000001,132.0,21.0,45.0,95.0
C07,宽幅板局部搜索收益,U4,普通设备故障,VF,fe9e0135e1e37c07,3183.3439403220477,3183.3439403220477,0.0,0.0,False,3,0,0.0,0.0,0.695838343653764,0.9,2921.9439403220476,248.4000000000001,132.0,21.0,45.0,95.0
C07,宽幅板局部搜索收益,U5,精密设备故障,VF,fe9e0135e1e37c07,3183.3439403220477,3183.3439403220477,0.0,0.0,False,2,0,0.0,0.0,0.7090480931150802,0.9,2921.9439403220476,248.4000000000001,132.0,21.0,45.0,95.0
C07,宽幅板局部搜索收益,U6,隐藏裂纹出现,VF,fe9e0135e1e37c07,3125.2829464861093,3183.3439403220477,-58.06099383593846,0.018238994882238402,True,0,0,0.0,0.0,0.8424508260276283,0.9514450734037574,2868.882946486109,248.4000000000001,132.0,21.0,45.0,100.0
C07,宽幅板局部搜索收益,U7,复合压力情景,VF,fe9e0135e1e37c07,3055.599182891509,3183.3439403220477,-127.74475743053881,0.040129109460165756,False,3,2,2.0004290943039393,1.353370270774528,0.8128989853886704,1.2706740541549055,2809.199182891509,248.4000000000001,132.0,21.0,45.0,110.0
C07,宽幅板局部搜索收益,U0,基准情景,VDF,5b7e9ebf9b6e6ef8,3154.9439403220476,3154.9439403220476,0.0,0.0,True,0,0,0.0,0.0,0.9338138233006137,1.0,2921.9439403220476,276.0000000000001,132.0,0.0,80.0,95.0
C07,宽幅板局部搜索收益,U1,普通设备降速,VDF,5b7e9ebf9b6e6ef8,3154.9439403220476,3154.9439403220476,0.0,0.0,False,0,1,0.5555555555555545,0.5555555555555545,0.9848720243588146,1.111111111111111,2921.9439403220476,276.0000000000001,132.0,0.0,80.0,95.0
C07,宽幅板局部搜索收益,U2,精密设备降速,VDF,5b7e9ebf9b6e6ef8,3154.9439403220476,3154.9439403220476,0.0,0.0,False,0,2,3.192141937959235,1.8715969347011434,1.0657352426802058,1.3743193869402286,2921.9439403220476,276.0000000000001,132.0,0.0,80.0,95.0
C07,宽幅板局部搜索收益,U3,全设备效率下降,VDF,5b7e9ebf9b6e6ef8,3154.9439403220476,3154.9439403220476,0.0,0.0,False,0,4,6.083215753398531,1.9444444444444446,1.1772571703323333,1.3888888888888888,2921.9439403220476,276.0000000000001,132.0,0.0,80.0,95.0
C07,宽幅板局部搜索收益,U4,普通设备故障,VDF,5b7e9ebf9b6e6ef8,3154.9439403220476,3154.9439403220476,0.0,0.0,False,4,0,0.0,0.0,0.7673404547428584,1.0,2921.9439403220476,276.0000000000001,132.0,0.0,80.0,95.0
C07,宽幅板局部搜索收益,U5,精密设备故障,VDF,5b7e9ebf9b6e6ef8,3154.9439403220476,3154.9439403220476,0.0,0.0,False,2,0,0.0,0.0,0.7863344398912582,1.0,2921.9439403220476,276.0000000000001,132.0,0.0,80.0,95.0
C07,宽幅板局部搜索收益,U6,隐藏裂纹出现,VDF,5b7e9ebf9b6e6ef8,3096.882946486109,3154.9439403220476,-58.06099383593846,0.01840317765836808,False,0,1,0.06130708272495777,0.06130708272495777,0.9456564543254946,1.0122614165449915,2868.882946486109,276.0000000000001,132.0,0.0,80.0,100.0
C07,宽幅板局部搜索收益,U7,复合压力情景,VDF,5b7e9ebf9b6e6ef8,3027.199182891509,3154.9439403220476,-127.74475743053881,0.040490341459917985,False,4,3,2.6889768801935316,1.4134904723877346,0.890065382390317,1.282698094477547,2809.199182891509,276.0000000000001,132.0,0.0,80.0,110.0
C07,宽幅板局部搜索收益,U0,基准情景,MG,6c39f053efed210d,3209.143940322048,3209.143940322048,0.0,0.0,True,0,0,0.0,0.0,0.8932780267769648,1.0,2921.9439403220476,262.2000000000001,132.0,28.0,40.0,95.0
C07,宽幅板局部搜索收益,U1,普通设备降速,MG,6c39f053efed210d,3209.143940322048,3209.143940322048,0.0,0.0,False,0,1,0.5555555555555545,0.5555555555555545,0.9443362278351658,1.111111111111111,2921.9439403220476,262.2000000000001,132.0,28.0,40.0,95.0
C07,宽幅板局部搜索收益,U2,精密设备降速,MG,6c39f053efed210d,3209.143940322048,3209.143940322048,0.0,0.0,False,0,2,2.97886070387519,1.6378618264149143,1.0230666338157166,1.327572365282983,2921.9439403220476,262.2000000000001,132.0,28.0,40.0,95.0
C07,宽幅板局部搜索收益,U3,全设备效率下降,MG,6c39f053efed210d,3209.143940322048,3209.143940322048,0.0,0.0,False,0,4,4.6015809869393225,1.9444444444444446,1.1228927826550652,1.3888888888888888,2921.9439403220476,262.2000000000001,132.0,28.0,40.0,95.0
C07,宽幅板局部搜索收益,U4,普通设备故障,MG,6c39f053efed210d,3209.143940322048,3209.143940322048,0.0,0.0,False,3,0,0.0,0.0,0.7623638926142307,1.0,2921.9439403220476,262.2000000000001,132.0,28.0,40.0,95.0
C07,宽幅板局部搜索收益,U5,精密设备故障,MG,6c39f053efed210d,3209.143940322048,3209.143940322048,0.0,0.0,False,2,0,0.0,0.0,0.7383945841606168,1.0,2921.9439403220476,262.2000000000001,132.0,28.0,40.0,95.0
C07,宽幅板局部搜索收益,U6,隐藏裂纹出现,MG,6c39f053efed210d,3151.0829464861094,3209.143940322048,-58.06099383593846,0.01809236198676456,False,0,1,0.06130708272495777,0.06130708272495777,0.9051206578018457,1.0122614165449915,2868.882946486109,262.2000000000001,132.0,28.0,40.0,100.0
C07,宽幅板局部搜索收益,U7,复合压力情景,MG,6c39f053efed210d,3081.399182891509,3209.143940322048,-127.74475743053881,0.039806490393110634,False,3,3,2.2136166266739163,1.0,0.8816240998133221,1.2,2809.199182891509,262.2000000000001,132.0,28.0,40.0,110.0
C07,宽幅板局部搜索收益,U0,基准情景,MG-LS,4c6a49834b34527f,3217.3439403220477,3217.3439403220477,0.0,0.0,True,0,0,0.0,0.0,0.8457792519080046,0.9,2921.9439403220476,248.4000000000001,132.0,35.0,25.0,95.0
C07,宽幅板局部搜索收益,U1,普通设备降速,MG-LS,4c6a49834b34527f,3217.3439403220477,3217.3439403220477,0.0,0.0,True,0,0,0.0,0.0,0.893133749262502,0.9999999999999998,2921.9439403220476,248.4000000000001,132.0,35.0,25.0,95.0
C07,宽幅板局部搜索收益,U2,精密设备降速,MG-LS,4c6a49834b34527f,3217.3439403220477,3217.3439403220477,0.0,0.0,False,0,2,2.3717703523483324,1.340998877460276,0.9694969554314881,1.268199775492055,2921.9439403220476,248.4000000000001,132.0,35.0,25.0,95.0
C07,宽幅板局部搜索收益,U3,全设备效率下降,MG-LS,4c6a49834b34527f,3217.3439403220477,3217.3439403220477,0.0,0.0,False,0,4,3.212692098050433,1.2500000000000009,1.0624310448231422,1.2500000000000002,2921.9439403220476,248.4000000000001,132.0,35.0,25.0,95.0
C07,宽幅板局部搜索收益,U4,普通设备故障,MG-LS,4c6a49834b34527f,3217.3439403220477,3217.3439403220477,0.0,0.0,False,3,0,0.0,0.0,0.7148651177452706,0.9,2921.9439403220476,248.4000000000001,132.0,35.0,25.0,95.0
C07,宽幅板局部搜索收益,U5,精密设备故障,MG-LS,4c6a49834b34527f,3217.3439403220477,3217.3439403220477,0.0,0.0,False,2,0,0.0,0.0,0.7050612508272834,0.9,2921.9439403220476,248.4000000000001,132.0,35.0,25.0,95.0
C07,宽幅板局部搜索收益,U6,隐藏裂纹出现,MG-LS,4c6a49834b34527f,3159.2829464861093,3217.3439403220477,-58.06099383593846,0.018046250234013437,True,0,0,0.0,0.0,0.8576218829328855,0.9159372267471511,2868.882946486109,248.4000000000001,132.0,35.0,25.0,100.0
C07,宽幅板局部搜索收益,U7,复合压力情景,MG-LS,4c6a49834b34527f,3089.599182891509,3217.3439403220477,-127.74475743053881,0.03970503614162926,False,3,2,1.9381302188681193,1.0,0.8341253249443622,1.2,2809.199182891509,248.4000000000001,132.0,35.0,25.0,110.0
C08,精密设备瓶颈与普通产能,U0,基准情景,VF,9cd5666c39a4cffc,3465.0553675601436,3465.0553675601436,0.0,0.0,True,0,0,0.0,0.0,0.8864422408883451,1.0,2705.855367560144,712.7999999999996,62.400000000000006,0.0,0.0,16.0
C08,精密设备瓶颈与普通产能,U1,普通设备降速,VF,9cd5666c39a4cffc,3465.0553675601436,3465.0553675601436,0.0,0.0,False,0,2,4.999999999999997,3.333333333333332,1.0690861913137824,1.6666666666666665,2705.855367560144,712.7999999999996,62.400000000000006,0.0,0.0,16.0
C08,精密设备瓶颈与普通产能,U2,精密设备降速,VF,9cd5666c39a4cffc,3465.0553675601436,3465.0553675601436,0.0,0.0,False,0,1,1.233766233766234,1.233766233766234,0.9487799032260075,1.2467532467532467,2705.855367560144,712.7999999999996,62.400000000000006,0.0,0.0,16.0
C08,精密设备瓶颈与普通产能,U3,全设备效率下降,VF,9cd5666c39a4cffc,3465.0553675601436,3465.0553675601436,0.0,0.0,False,0,5,11.869782128082623,5.416666666666666,1.3744472830572994,2.083333333333333,2705.855367560144,712.7999999999996,62.400000000000006,0.0,0.0,16.0
C08,精密设备瓶颈与普通产能,U4,普通设备故障,VF,9cd5666c39a4cffc,3465.0553675601436,3465.0553675601436,0.0,0.0,False,3,0,0.0,0.0,0.7503401960207623,1.0,2705.855367560144,712.7999999999996,62.400000000000006,0.0,0.0,16.0
C08,精密设备瓶颈与普通产能,U5,精密设备故障,VF,9cd5666c39a4cffc,3465.0553675601436,3465.0553675601436,0.0,0.0,False,2,0,0.0,0.0,0.7409876954337996,1.0,2705.855367560144,712.7999999999996,62.400000000000006,0.0,0.0,16.0
C08,精密设备瓶颈与普通产能,U6,隐藏裂纹出现,VF,9cd5666c39a4cffc,3418.878397465575,3465.0553675601436,-46.17697009456879,0.013326473951001675,False,0,1,0.03223310375207067,0.03223310375207067,0.889503646307547,1.0064466207504141,2661.678397465575,712.7999999999996,62.400000000000006,0.0,0.0,18.0
C08,精密设备瓶颈与普通产能,U7,复合压力情景,VF,9cd5666c39a4cffc,3358.808318793553,3465.0553675601436,-106.24704876659052,0.03066243897897726,False,3,3,5.918493893459809,5.0,0.9720402313028608,2.0,2605.6083187935533,712.7999999999996,62.400000000000006,0.0,0.0,22.0
C08,精密设备瓶颈与普通产能,U0,基准情景,VDF,6745fb9d3bf1e5ca,3492.4553675601433,3492.4553675601433,0.0,0.0,True,0,0,0.0,0.0,0.9366954190072462,1.0,2705.855367560144,739.1999999999996,62.400000000000006,1.0,0.0,16.0
C08,精密设备瓶颈与普通产能,U1,普通设备降速,VDF,6745fb9d3bf1e5ca,3492.4553675601433,3492.4553675601433,0.0,0.0,False,0,2,4.999999999999997,3.333333333333332,1.1192444565240878,1.6666666666666665,2705.855367560144,739.1999999999996,62.400000000000006,1.0,0.0,16.0
C08,精密设备瓶颈与普通产能,U2,精密设备降速,VDF,6745fb9d3bf1e5ca,3492.4553675601433,3492.4553675601433,0.0,0.0,False,0,1,1.816671436739739,1.816671436739739,1.0048621333746437,1.3633342873479477,2705.855367560144,739.1999999999996,62.400000000000006,1.0,0.0,16.0
C08,精密设备瓶颈与普通产能,U3,全设备效率下降,VDF,6745fb9d3bf1e5ca,3492.4553675601433,3492.4553675601433,0.0,0.0,False,0,5,13.394434128524594,5.416666666666666,1.4388701378080802,2.083333333333333,2705.855367560144,739.1999999999996,62.400000000000006,1.0,0.0,16.0
C08,精密设备瓶颈与普通产能,U4,普通设备故障,VDF,6745fb9d3bf1e5ca,3492.4553675601433,3492.4553675601433,0.0,0.0,False,3,0,0.0,0.0,0.8008954176675559,1.0,2705.855367560144,739.1999999999996,62.400000000000006,1.0,0.0,16.0
C08,精密设备瓶颈与普通产能,U5,精密设备故障,VDF,6745fb9d3bf1e5ca,3492.4553675601433,3492.4553675601433,0.0,0.0,False,2,0,0.0,0.0,0.7776397521499856,1.0,2705.855367560144,739.1999999999996,62.400000000000006,1.0,0.0,16.0
